Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
We Asked 100 Moms: On A Scale From 1-10- How Much Have You Become Like Your Own Mom With Age?,31,10,26,8,17,5,13,7,10,9
How Many Hours Of Sleep Does The Average Person Need In Order To Wake Up Refreshed?,47,8,18,7,17,6,3,10,3,9
How Old Were You When You Babysat For The First Time?,30,12,29,13,14,14,11,15,7,10
At What Age Might A Man Have Midlifecrisis?,35,40,21,45,20,50,7,30,5,35
Name The Age At Which A Man May Get Thick Around The Middle.,42,40,21,30,16,35,9,45,8,50
Tell Me The Age That Most People Want To Live Until,51,100,21,80,15,90,5,70,5,75
If You Got Stuck In The Desert- What Would You Want To Have With You?,58,Water,17,Food,16,A Cell Phone,3,A Camel,3,A Friend
Name A Decision That People Don’t Make Lightly.,61,Marriage,12,Divorce,11,Buying A House,8,Having Kids,3,Accepting A Job
Besides “Family Feud”- Name A Tv Show With “Family” In Its Title,44,Family Ties,24,Family Matters,16,All In The Family,11,Family Guy,3,Addam’s Family
Name Something That Causes People To Change Seats At The Movies,41,Want Better View,30,Noisy Neighbors,18,Tall Person In Front,6,Dirty/Sticky Seat,4,Affectionate Couple
Name Something In Cars Now That You Can’t Believe People Once Went Without.,41,Stereo,28,GPS,17,Air Conditioning,8,Seat Belts,3,Air Bags
Name A Place Where You Find Yourself Watching The Clock.,57,Work,26,School,6,Place Of Worship,5,Doctor’s Office,3,Airport
Name A Place Where A Child Might Get Separated From Her Parents.,38,Mall,23,Park,16,Zoo,16,Theme Park,5,Airport
During Your Morning Routine- Name Something You’d Hate To Discover Wasn’t Working.,38,Shower,26,Coffeemaker,18,Car,6,Hair Dryer,5,Alarm Clock
Name A Fruit That You Can Buy Dried,22,Grape,21,Banana,21,Apricot,17,Prune,15,Apple
What Do People Eat In The Hospital,46,Jell O,28,Soup,12,Ice Cream,8,Pudding,6,Apple Sauce
Name A Smell You Associate With Fall,46,Leaves,20,Rain,9,Campfire,9,Pumpkin Pie,5,Apples
Name Something For Which You Get A Warranty.,54,Car,23,TV,8,Watch,4,Computer,3,Appliance
Name Something In A Regular House That Might Be Missing In A Batchelor Pad.,37,Furniture,31,Food,9,Decoration,7,Family,4,Appliances
Name Something That’s Currently Legal- That People Should Be Banned From Doing While Driving,32,Smoking,23,Eating,20,Sipping Drink,18,Using Cell Phone,4,Applying Make Up
