Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
لقد سألنا 100 أم: على مقياس من 1 إلى 10- إلى أي مدى أصبحت مثل أمك مع تقدم العمر؟,31,10,26,8,17,5,13,7,10,9
كم عدد ساعات النوم التي يحتاجها الشخص العادي لكي يستيقظ منتعشاً؟,47,8,18,7,17,6,3,10,3,9
كم كان عمرك عندما جليست الأطفال لأول مرة؟,30,12,29,13,14,14,11,15,7,10
في أي عمر قد يصاب الرجل بأزمة منتصف العمر؟,35,40,21,45,20,50,7,30,5,35
اذكر العمر الذي قد يصبح فيه الرجل سميكًا حول الوسط.,42,40,21,30,16,35,9,45,8,50
أخبرني عن العمر الذي يرغب معظم الناس في العيش حتى تحقيقه,51,100,21,80,15,90,5,70,5,75
إذا علقت في الصحراء – ماذا تريد أن يكون معك؟,58,ماء,17,طعام,16,هاتف محمول,3,جمل,3,صديق
اذكر القرار الذي لا يتخذه الناس باستخفاف.,61,زواج,12,الطلاق,11,شراء منزل,8,إنجاب الأطفال,3,قبول الوظيفة
"إلى جانب ""Family Feud"" - قم بتسمية برنامج تلفزيوني يحتوي على كلمة ""Family"" في عنوانه",44,الروابط العائلية,24,شؤون الأسرة,16,كل ما في العائلة,11,رجل العائلة,3,عائلة ادم
اذكر شيئًا يجعل الناس يغيرون مقاعدهم في السينما,41,تريد عرض أفضل,30,الجيران صاخبة,18,شخص طويل القامة في الجبهة,6,مقعد متسخ/لزج,4,زوجان حنونان
قم بتسمية شيء ما في السيارات الآن لا يمكنك تصديق أن الناس كانوا بدونه ذات يوم.,41,ستيريو,28,نظام تحديد المواقع,17,تكييف,8,حزام الامان,3,أكياس الهواء
قم بتسمية مكان تجد نفسك فيه تنظر الى الساعة.,57,عمل,26,مدرسة,6,مكان العبادة,5,مكتب الطبيب,3,مطار
قم بتسمية مكان يمكن أن تنفصل فيه الطفلة عن والديها.,38,مول,23,حديقة,16,حديقة الحيوان,16,متنزه,5,مطار
خلال روتينك الصباحي - قم بتسمية شيء كنت تكره اكتشافه لم يكن يعمل.,38,دش,26,صانع القهوة,18,سيارة,6,مجفف شعر,5,منبه
قم بتسمية الفاكهة التي يمكنك شراؤها مجففة,22,العنب,21,موز,21,مشمش,17,تقليم,15,تفاحة
